Date,stock_price
4/30/2025,161.839996
4/29/2025,163.759995
4/28/2025,164.770004
4/25/2025,165.300003
4/24/2025,160.240005
4/23/2025,156.809998
4/22/2025,161.940002
4/21/2025,161.410004
4/17/2025,161.020004
4/16/2025,160.550003
4/15/2025,157.869995
4/14/2025,153.490005
4/11/2025,151.000000
4/10/2025,150.000000
4/9/2025,149.990005
4/8/2025,147.869995
4/7/2025,147.919998
4/4/2025,150.809998
4/3/2025,150.440002
4/2/2025,151.279999
4/1/2025,150.960007
3/31/2025,151.490005
3/28/2025,150.020004
3/27/2025,148.960007
3/26/2025,149.800003
3/25/2025,152.570007
3/24/2025,148.850006
3/21/2025,149.320007
3/20/2025,148.639999
3/19/2025,148.690002
3/18/2025,149.479996
3/17/2025,149.259995
3/14/2025,148.759995
3/13/2025,146.550003
3/12/2025,144.839996
3/11/2025,143.759995
3/10/2025,140.910004
3/7/2025,141.509995
3/6/2025,142.809998
3/5/2025,142.899994
3/4/2025,143.289993
3/3/2025,142.000000
2/28/2025,141.110001
2/27/2025,139.139999
2/26/2025,142.649994
2/25/2025,141.500000
2/24/2025,142.830002
2/21/2025,141.910004
2/20/2025,145.369995
2/19/2025,146.919998
2/18/2025,146.830002
2/14/2025,145.850006
2/13/2025,143.429993
2/12/2025,142.940002
2/11/2025,146.059998
2/10/2025,148.789993
2/7/2025,149.029999
2/6/2025,148.119995
2/5/2025,149.550003
2/4/2025,148.970001
2/3/2025,154.070007
1/31/2025,155.110001
1/30/2025,156.690002
1/29/2025,154.300003
1/28/2025,153.649994
1/27/2025,152.509995
1/24/2025,151.830002
1/23/2025,153.119995
1/22/2025,148.600006
1/21/2025,147.539993
1/17/2025,148.360001
1/16/2025,149.619995
1/15/2025,149.710007
1/14/2025,148.190002
1/13/2025,146.699997
1/10/2025,146.360001
1/9/2025,150.190002
1/8/2025,151.119995
1/7/2025,149.100006
1/6/2025,148.889999
1/3/2025,145.860001
1/2/2025,145.600006
12/31/2024,146.089996
12/30/2024,146.139999
12/27/2024,147.059998
12/26/2024,146.949997
12/24/2024,147.360001
12/23/2024,145.520004
12/20/2024,145.860001
12/19/2024,145.639999
12/18/2024,144.979996
12/17/2024,146.770004
12/16/2024,148.990005
12/13/2024,148.559998
12/12/2024,146.800003
12/11/2024,145.399994
12/10/2024,146.149994
12/9/2024,142.449997
12/6/2024,146.389999
12/5/2024,148.479996
12/4/2024,149.149994
12/3/2024,145.639999
12/2/2024,144.500000
11/29/2024,145.110001
11/27/2024,143.240005
11/26/2024,144.570007
11/25/2024,142.020004
11/22/2024,139.960007
11/21/2024,137.270004
11/20/2024,136.960007
11/19/2024,136.330002
11/18/2024,134.779999
11/15/2024,133.110001
11/14/2024,133.410004
11/13/2024,133.699997
11/12/2024,133.979996
11/8/2024,132.300003
11/7/2024,130.460007
11/6/2024,131.789993
11/5/2024,130.149994
11/4/2024,129.639999
11/1/2024,130.479996
10/31/2024,127.349998
10/30/2024,126.110001
10/29/2024,127.129997
10/28/2024,126.739998
10/25/2024,125.900002
10/24/2024,125.889999
10/23/2024,123.540001
10/22/2024,125.059998
10/21/2024,124.279999
10/18/2024,124.610001
10/17/2024,125.279999
10/16/2024,126.849998
10/15/2024,126.900002
10/11/2024,127.099998
10/10/2024,125.430000
10/9/2024,127.309998
10/8/2024,124.690002
10/7/2024,124.849998
10/4/2024,126.269997
10/3/2024,127.449997
10/2/2024,124.970001
10/1/2024,122.769997
9/30/2024,125.910004
9/27/2024,126.849998
9/26/2024,130.210007
9/25/2024,129.740005
9/24/2024,128.100006
9/23/2024,127.849998
9/20/2024,132.539993
9/19/2024,131.460007
9/18/2024,133.479996
9/17/2024,133.580002
9/16/2024,134.389999
9/13/2024,134.720001
9/12/2024,134.320007
9/11/2024,131.940002
9/10/2024,133.500000
9/9/2024,133.110001
9/6/2024,134.839996
9/5/2024,134.160004
9/4/2024,134.500000
9/3/2024,132.029999
8/30/2024,134.429993
8/29/2024,131.240005
8/28/2024,133.000000
8/27/2024,130.360001
8/26/2024,127.900002
8/23/2024,126.209999
8/22/2024,125.900002
8/21/2024,123.000000
8/20/2024,122.150002
8/19/2024,119.900002
8/16/2024,121.389999
8/15/2024,121.209999
8/14/2024,120.589996
8/13/2024,120.089996
8/12/2024,122.540001
8/9/2024,123.389999
8/8/2024,119.989998
8/7/2024,120.529999
8/6/2024,124.760002
8/5/2024,125.570000
8/2/2024,123.989998
8/1/2024,121.029999
7/31/2024,121.959999
7/30/2024,119.980003
7/29/2024,121.089996
7/26/2024,116.360001
7/25/2024,121.419998
7/24/2024,120.129997
7/23/2024,122.059998
7/22/2024,125.120003
7/19/2024,127.790001
7/18/2024,121.260002
7/17/2024,120.989998
7/16/2024,125.349998
7/15/2024,125.860001
7/12/2024,126.000000
7/11/2024,129.869995
7/10/2024,129.710007
7/9/2024,130.839996
7/8/2024,133.190002
7/5/2024,135.369995
7/3/2024,135.130005
7/2/2024,135.389999
7/1/2024,136.009995
6/28/2024,136.910004
6/27/2024,136.759995
6/26/2024,137.389999
6/25/2024,133.940002
6/24/2024,134.990005
6/21/2024,134.139999
6/20/2024,131.960007
6/18/2024,137.089996
6/17/2024,142.059998
